Default schedule
Rate	71.43
Rev Jump	14.29
Prior Change	14.29
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Prior Change Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
710	0.318310	143	0.000000	147	0.768707	0.900342	710	0.318310	0.339000	0.316012	
742	0.303235	130	0.000000	128	0.843750	0.900342	742	0.303235	0.333000	0.316034	
711	0.295359	131	0.000000	158	0.677215	0.900342	711	0.295359	0.317000	0.316036	
689	0.291727	141	0.021277	170	0.729412	0.900342	689	0.291727	0.328000	0.316052	
730	0.293151	137	0.007299	133	0.766917	0.900342	730	0.293151	0.317000	0.316053	
714	0.329132	136	0.007353	150	0.720000	0.900342	714	0.329132	0.344000	0.316090	
697	0.342898	165	0.036364	138	0.710145	0.900342	697	0.342898	0.343000	0.316126	
723	0.304288	131	0.015267	146	0.664384	0.900342	723	0.304288	0.319000	0.316130	
745	0.320805	120	0.058333	135	0.718519	0.900342	745	0.320805	0.343000	0.316165	
711	0.277075	132	0.037879	157	0.687898	0.900342	711	0.277075	0.310000	0.316157	
724	0.328729	123	0.032520	153	0.725490	0.900342	724	0.328729	0.353000	0.316206	
733	0.357435	119	0.109244	148	0.750000	0.900342	733	0.357435	0.386000	0.316298	
727	0.381018	153	0.065359	120	0.825000	0.900342	727	0.381018	0.386000	0.316390	
736	0.328804	126	0.055556	138	0.847826	0.900342	736	0.328804	0.366000	0.316455	
721	0.312067	133	0.052632	146	0.801370	0.900342	721	0.312067	0.349000	0.316498	
750	0.264000	127	0.000000	123	0.731707	0.900342	750	0.264000	0.288000	0.316461	
717	0.274756	147	0.006803	136	0.713235	0.900342	717	0.274756	0.295000	0.316433	
718	0.311978	152	0.046053	130	0.776923	0.900342	718	0.311978	0.332000	0.316453	
737	0.256445	116	0.008621	147	0.748299	0.900342	737	0.256445	0.300000	0.316432	
713	0.304348	164	0.000000	123	0.780488	0.900342	713	0.304348	0.313000	0.316427	
711	0.286920	130	0.007692	159	0.786164	0.900342	711	0.286920	0.330000	0.316445	
723	0.275242	125	0.000000	152	0.651316	0.900342	723	0.275242	0.298000	0.316421	
705	0.246809	153	0.019608	142	0.753521	0.900342	705	0.246809	0.284000	0.316378	
728	0.295330	131	0.015267	141	0.695035	0.900342	728	0.295330	0.315000	0.316377	
712	0.308989	141	0.021277	147	0.768707	0.900342	712	0.308989	0.336000	0.316402	
749	0.276368	119	0.000000	132	0.750000	0.900342	749	0.276368	0.306000	0.316389	
753	0.276228	137	0.000000	110	0.781818	0.900342	753	0.276228	0.294000	0.316360	
761	0.333771	124	0.000000	115	0.800000	0.900342	761	0.333771	0.346000	0.316398	
738	0.310298	121	0.016529	141	0.702128	0.900342	738	0.310298	0.330000	0.316416	
716	0.332402	134	0.007463	150	0.733333	0.900342	716	0.332402	0.349000	0.316458	
724	0.277624	118	0.033898	158	0.759494	0.900342	724	0.277624	0.325000	0.316469	
731	0.313269	115	0.043478	154	0.701299	0.900342	731	0.313269	0.342000	0.316502	
712	0.342697	121	0.041322	167	0.664671	0.900342	712	0.342697	0.360000	0.316557	
