Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_edited_traits_load.tsv
Log File Name:                   tutorial_bayestraits_output_log_dep_load.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1269315673
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      5000000
Burn in:                         1000000
MCMC ML Start:                   False
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Load Model:                      tutorial_bayestraits_output_model_dep.bin
Estimating values for taxa and Sites
	t100                
Restrictions:
    q12                          None
    q13                          None
    q21                          None
    q24                          None
    q31                          None
    q34                          None
    q42                          None
    q43                          None
Prior Information:
    Prior Categories:            100
    Priors
        q12 - Hyper Prior exp (0.00,1.00) 
        q13 - Hyper Prior exp (0.00,1.00) 
        q21 - Hyper Prior exp (0.00,1.00) 
        q24 - Hyper Prior exp (0.00,1.00) 
        q31 - Hyper Prior exp (0.00,1.00) 
        q34 - Hyper Prior exp (0.00,1.00) 
        q42 - Hyper Prior exp (0.00,1.00) 
        q43 - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Model No	q12	q13	q21	q24	q31	q34	q42	q43	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	q12 - Mean	q13 - Mean	q21 - Mean	q24 - Mean	q31 - Mean	q34 - Mean	q42 - Mean	q43 - Mean	
1047000	-470.251664	1	3283	0.523759	0.000000	0.523759	0.523759	0.523759	0.523759	0.523759	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.463673	0.651038	0.824808	0.054623	0.698338	0.945799	0.511115	0.808651	
1048000	-470.383119	1	1182	0.536698	0.000000	0.536698	0.536698	0.536698	0.536698	0.536698	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.098909	0.128644	0.614437	0.452524	0.599394	0.950494	0.648242	0.337971	
1049000	-467.398923	1	2595	0.593253	0.000000	0.593253	0.593253	0.312370	0.312370	0.593253	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.843751	0.791265	0.015826	0.117757	0.857230	0.886937	0.956675	0.261755	
1050000	-470.237429	1	1741	0.521816	0.000000	0.521816	0.521816	0.521816	0.521816	0.521816	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.927000	0.838244	0.711592	0.381692	0.487666	0.037273	0.032188	0.850568	
1051000	-470.385749	1	3768	0.475108	0.000000	0.475108	0.475108	0.475108	0.475108	0.475108	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.427430	0.441505	0.021347	0.672083	0.172670	0.320038	0.611611	0.326746	
1052000	-470.193739	1	340	0.496668	0.000000	0.496668	0.496668	0.496668	0.496668	0.496668	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.090698	0.971923	0.078138	0.978411	0.740474	0.144767	0.670004	0.742465	
1053000	-470.335786	1	2907	0.478856	0.000000	0.478856	0.478856	0.478856	0.478856	0.478856	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.168243	0.933020	0.938642	0.144662	0.925352	0.610987	0.085769	0.532843	
1054000	-470.806659	1	1572	0.561822	0.000000	0.561822	0.561822	0.561822	0.561822	0.561822	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.560462	0.389348	0.922873	0.569420	0.712278	0.884952	0.951327	0.755332	
1055000	-470.392769	1	1579	0.537459	0.000000	0.537459	0.537459	0.537459	0.537459	0.537459	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.499151	0.026624	0.548337	0.007713	0.374445	0.533513	0.419154	0.340564	
1056000	-467.126940	1	228	0.648197	0.000000	0.648197	0.648197	0.367472	0.367472	0.648197	0.000000	1	0.000001	0.000001	0.999998	0.000001	0.506931	0.242767	0.496232	0.164877	0.342294	0.103559	0.518884	0.236604	
1057000	-470.232652	1	3424	0.521114	0.000000	0.521114	0.521114	0.521114	0.521114	0.521114	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.638556	0.013433	0.212950	0.203905	0.694274	0.359544	0.416367	0.724672	
1058000	-470.216648	1	3089	0.491932	0.000000	0.491932	0.491932	0.491932	0.491932	0.491932	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.769819	0.214809	0.303314	0.564640	0.807251	0.621204	0.936702	0.653088	
1059000	-470.385487	1	3905	0.475127	0.000000	0.475127	0.475127	0.475127	0.475127	0.475127	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.544537	0.939260	0.597478	0.753254	0.450941	0.585319	0.728003	0.387799	
1060000	-470.609940	1	3913	0.462446	0.000000	0.462446	0.462446	0.462446	0.462446	0.462446	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.889170	0.758344	0.572612	0.161587	0.931728	0.609706	0.015728	0.078873	
1061000	-470.520573	1	1884	0.466928	0.000000	0.466928	0.466928	0.466928	0.466928	0.466928	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.866406	0.860518	0.200004	0.506892	0.412989	0.117230	0.281307	0.878506	
1062000	-470.197644	1	1183	0.514584	0.000000	0.514584	0.514584	0.514584	0.514584	0.514584	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.842745	0.742172	0.341028	0.298691	0.063843	0.894312	0.754862	0.897919	
1063000	-470.277398	1	2961	0.526857	0.000000	0.526857	0.526857	0.526857	0.526857	0.526857	0.000000	1	0.000001	0.000001	0.999996	0.000001	0.628051	0.108808	0.330918	0.329576	0.493821	0.319887	0.188381	0.472824	
1064000	-470.322690	1	2082	0.479939	0.000000	0.479939	0.479939	0.479939	0.479939	0.479939	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.687928	0.434305	0.756873	0.961232	0.447156	0.839659	0.045375	0.294713	
1065000	-470.182339	1	3468	0.509421	0.000000	0.509421	0.509421	0.509421	0.509421	0.509421	0.000000	1	0.000001	0.000001	0.999997	0.000001	0.549173	0.468386	0.532323	0.869359	0.303686	0.289679	0.678219	0.577496	
