Iteration	Lh	Tree No	Model No	alpha1	beta1	alpha2	beta2	Est t100 - 2	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	alpha1 - Mean	beta1 - Mean	alpha2 - Mean	beta2 - Mean	
1101000	-511.718119	1	216	0.270901	0.539124	0.539124	0.270901	0	0.248118	0.247780	0.252223	0.251879	0.257108	0.142710	0.147407	0.833386	
1102000	-511.630389	1	1539	0.282507	0.499776	0.499776	0.282507	0	0.247712	0.252625	0.247378	0.252285	0.783068	0.130972	0.915942	0.300212	
1103000	-511.762852	1	3211	0.275203	0.544068	0.544068	0.275203	0	0.248278	0.248132	0.251870	0.251721	0.048372	0.887872	0.311661	0.798017	
1104000	-513.131487	1	1523	0.274314	0.507085	0.507085	0.274314	1	0.247651	0.250723	0.249267	0.252359	0.673518	0.128911	0.770936	0.290449	
1105000	-511.566416	1	2703	0.265280	0.525458	0.525458	0.265280	0	0.247760	0.247709	0.252291	0.252240	0.863437	0.168525	0.475761	0.370225	
1106000	-511.451263	1	1208	0.243524	0.474805	0.474805	0.243524	0	0.245714	0.247874	0.252098	0.254315	0.382478	0.695132	0.048926	0.545885	
1107000	-511.537759	1	122	0.267688	0.470727	0.470727	0.267688	0	0.246621	0.254435	0.245581	0.253362	0.005905	0.272702	0.018228	0.054785	
1108000	-513.736407	1	3513	0.264429	0.447771	0.447771	0.264429	1	0.245787	0.258510	0.241599	0.254104	0.376868	0.698261	0.791132	0.087917	
1109000	-511.485683	1	3186	0.241939	0.474642	0.474642	0.241939	0	0.245624	0.247392	0.252583	0.254401	0.161534	0.825143	0.063457	0.768728	
1110000	-511.464272	1	3622	0.245150	0.484140	0.484140	0.245150	0	0.246080	0.247048	0.252939	0.253933	0.655568	0.355653	0.932951	0.638048	
1111000	-511.412930	1	1303	0.267729	0.482256	0.482256	0.267729	0	0.246923	0.252622	0.247373	0.253082	0.881059	0.843903	0.496481	0.638749	
1112000	-512.371443	1	3602	0.230269	0.500609	0.500609	0.230269	0	0.245762	0.240183	0.259978	0.254076	0.974255	0.140169	0.777513	0.775191	
1113000	-513.040118	1	1509	0.252799	0.402863	0.402863	0.252799	0	0.243130	0.270951	0.229811	0.256108	0.093089	0.463487	0.893616	0.772274	
1114000	-513.832380	1	2274	0.214460	0.505386	0.505386	0.214460	0	0.244758	0.232623	0.267952	0.254667	0.972566	0.662618	0.865923	0.568156	
1115000	-511.859422	1	2638	0.287279	0.550443	0.550443	0.287279	0	0.248570	0.249248	0.250749	0.251433	0.953532	0.798912	0.805884	0.788391	
1116000	-511.654088	1	3447	0.279139	0.537017	0.537017	0.279139	0	0.248254	0.249046	0.250950	0.251750	0.603018	0.875190	0.882941	0.572505	
1117000	-511.680064	1	1838	0.244932	0.439867	0.439867	0.244932	0	0.244520	0.255546	0.244455	0.255479	0.332691	0.392033	0.024777	0.711624	
1118000	-511.406805	1	3821	0.267049	0.481532	0.481532	0.267049	0	0.246883	0.252603	0.247391	0.253123	0.114845	0.147472	0.802848	0.614385	
1119000	-511.455067	1	3679	0.267849	0.477846	0.477846	0.267849	0	0.246816	0.253303	0.246699	0.253183	0.649461	0.695361	0.701919	0.094076	
1120000	-511.767631	1	1258	0.238607	0.434768	0.434768	0.238607	0	0.243891	0.254777	0.245194	0.256138	0.696539	0.093136	0.306544	0.311799	
1121000	-511.425788	1	3264	0.244918	0.475352	0.475352	0.244918	0	0.245803	0.248222	0.251748	0.254227	0.168075	0.383338	0.008213	0.568451	
1122000	-511.319700	1	2580	0.257324	0.487936	0.487936	0.257324	0	0.246703	0.249729	0.250249	0.253319	0.601839	0.850841	0.100015	0.977280	
1123000	-511.564896	1	3202	0.237872	0.468025	0.468025	0.237872	0	0.245168	0.247058	0.252912	0.254862	0.198527	0.125686	0.632110	0.055139	
1124000	-511.955825	1	174	0.226416	0.437449	0.437449	0.226416	0	0.243061	0.248799	0.251106	0.257034	0.632177	0.834759	0.090806	0.766962	
1125000	-511.784960	1	3009	0.260933	0.447657	0.447657	0.260933	0	0.245637	0.257810	0.242273	0.254280	0.379058	0.045555	0.328072	0.508123	
1126000	-512.038674	1	2798	0.298766	0.550476	0.550476	0.298766	0	0.248733	0.250302	0.249695	0.251270	0.378561	0.045548	0.346335	0.750549	
1127000	-511.605964	1	3413	0.252759	0.512293	0.512293	0.252759	0	0.247117	0.246132	0.253882	0.252870	0.558543	0.351349	0.917142	0.217693	
1128000	-511.933028	1	681	0.296656	0.537688	0.537688	0.296656	0	0.248558	0.250862	0.249136	0.251445	0.179586	0.987818	0.382903	0.612695	
1129000	-513.273179	1	7	0.276884	0.535489	0.535489	0.276884	1	0.248186	0.248846	0.251150	0.251818	0.877001	0.462524	0.290608	0.109688	
1130000	-511.629677	1	2343	0.235902	0.450544	0.450544	0.235902	0	0.244381	0.249726	0.250210	0.255682	0.046684	0.753463	0.543781	0.977324	
1131000	-511.667524	1	1039	0.259256	0.451144	0.451144	0.259256	0	0.245686	0.256619	0.243431	0.254264	0.962944	0.784975	0.256507	0.861213	
1132000	-511.351469	1	1692	0.263324	0.482181	0.482181	0.263324	0	0.246773	0.251794	0.248192	0.253242	0.615495	0.283306	0.625436	0.958301	
1133000	-511.654186	1	1997	0.245588	0.501824	0.501824	0.245588	0	0.246585	0.245192	0.254832	0.253391	0.428489	0.561464	0.279798	0.139751	
1134000	-511.317535	1	1703	0.259600	0.485661	0.485661	0.259600	0	0.246729	0.250534	0.249445	0.253292	0.914804	0.078941	0.606280	0.012918	
1135000	-512.241358	1	2331	0.304583	0.528173	0.528173	0.304583	0	0.248556	0.252151	0.247854	0.251439	0.910321	0.707858	0.953481	0.876204	
1136000	-511.502830	1	2908	0.278187	0.502471	0.502471	0.278187	0	0.247660	0.251757	0.248238	0.252345	0.043985	0.798014	0.619147	0.138440	
1137000	-511.663694	1	2731	0.234560	0.467393	0.467393	0.234560	0	0.244936	0.245925	0.254056	0.255083	0.024712	0.377072	0.666899	0.855269	
1138000	-511.742815	1	3794	0.288293	0.536812	0.536812	0.288293	0	0.248415	0.250119	0.249876	0.251590	0.568297	0.326945	0.475079	0.824259	
1139000	-511.816105	1	2778	0.284815	0.548274	0.548274	0.284815	0	0.248504	0.249093	0.250904	0.251499	0.726050	0.195251	0.331809	0.700011	
1140000	-511.598243	1	1291	0.299530	0.500974	0.500974	0.277623	0	0.249043	0.253291	0.246729	0.250937	0.856470	0.184108	0.084464	0.493348	
1141000	-511.607046	1	2159	0.279213	0.532544	0.532544	0.279213	0	0.248190	0.249337	0.250657	0.251815	0.844669	0.933311	0.186225	0.480018	
1142000	-511.367489	1	1650	0.252350	0.489698	0.489698	0.252350	0	0.246554	0.248317	0.251665	0.253464	0.514202	0.256388	0.627816	0.389226	
1143000	-511.729139	1	2827	0.231665	0.457131	0.457131	0.231665	0	0.244345	0.246623	0.253335	0.255697	0.808766	0.416834	0.374670	0.110437	
1144000	-511.987540	1	2224	0.278854	0.467265	0.467265	0.278854	0	0.246889	0.256834	0.243239	0.253038	0.536143	0.713719	0.318440	0.556242	
1145000	-511.476716	1	2154	0.267355	0.519914	0.519914	0.267355	0	0.247713	0.248475	0.251519	0.252292	0.436744	0.258239	0.480803	0.172381	
1146000	-511.495927	1	1484	0.277744	0.501777	0.501777	0.277744	0	0.247636	0.251770	0.248225	0.252369	0.540369	0.417441	0.915037	0.547412	
1147000	-512.031488	1	2500	0.224407	0.457930	0.457930	0.224407	0	0.243799	0.243160	0.256857	0.256184	0.058875	0.701362	0.981609	0.229875	
1148000	-511.790202	1	1672	0.285467	0.545864	0.545864	0.285467	0	0.248485	0.249290	0.250706	0.251519	0.077532	0.909037	0.507360	0.431060	
1149000	-512.612985	1	1563	0.230605	0.510436	0.510436	0.230605	0	0.246072	0.239587	0.260605	0.253736	0.132208	0.834197	0.310487	0.794456	
1150000	-513.091718	1	1191	0.269752	0.500917	0.500917	0.269752	1	0.247406	0.250634	0.249353	0.252606	0.844011	0.168375	0.535203	0.968076	
1151000	-512.724303	1	376	0.229688	0.511999	0.511999	0.229688	0	0.246064	0.239140	0.261071	0.253725	0.486370	0.400576	0.333150	0.508694	
1152000	-511.564450	1	455	0.272339	0.529426	0.529426	0.272339	0	0.247997	0.248588	0.251408	0.252007	0.726406	0.111137	0.393292	0.528583	
1153000	-511.363899	1	1816	0.268811	0.500621	0.500621	0.268811	0	0.247375	0.250504	0.249482	0.252638	0.167290	0.795075	0.867408	0.861810	
1154000	-511.718119	1	216	0.270901	0.539124	0.539124	0.270901	0	0.248118	0.247780	0.252223	0.251879	0.148992	0.303492	0.142397	0.822235	
1155000	-513.676718	1	3802	0.234853	0.491416	0.491416	0.234853	1	0.245753	0.242783	0.257286	0.254178	0.533217	0.166953	0.727079	0.034461	
1156000	-511.448831	1	239	0.252552	0.500215	0.500215	0.252552	0	0.246828	0.247187	0.252809	0.253176	0.466866	0.217541	0.663291	0.011323	
1157000	-511.393351	1	3332	0.271507	0.499318	0.499318	0.271507	0	0.247423	0.251098	0.248891	0.252587	0.155226	0.087011	0.322348	0.989333	
1158000	-513.762779	1	2282	0.293528	0.570646	0.570646	0.293528	1	0.248870	0.248990	0.251010	0.251131	0.980593	0.156917	0.431229	0.414090	
1159000	-511.416051	1	2586	0.245227	0.468216	0.468216	0.245227	0	0.245589	0.249475	0.250487	0.254449	0.427849	0.738428	0.778420	0.790512	
1160000	-512.348874	1	468	0.217233	0.444528	0.444528	0.217233	0	0.242494	0.242082	0.257931	0.257493	0.216785	0.026521	0.777620	0.526592	
1161000	-512.924464	1	3105	0.322437	0.555497	0.555497	0.322437	0	0.249043	0.251525	0.248478	0.250954	0.005981	0.183343	0.249889	0.380677	
1162000	-512.136363	1	760	0.244864	0.420407	0.420407	0.244864	0	0.243616	0.261573	0.238612	0.256200	0.348245	0.588942	0.434020	0.317866	
1163000	-512.255968	1	1111	0.292695	0.573837	0.573837	0.292695	0	0.248891	0.248807	0.251193	0.251109	0.940577	0.891279	0.198600	0.221925	
1164000	-511.592018	1	3095	0.241561	0.446157	0.446157	0.241561	0	0.244574	0.252820	0.247137	0.255470	0.313536	0.001561	0.134713	0.537388	
1165000	-512.389667	1	2760	0.286827	0.467156	0.467156	0.286827	0	0.247113	0.257851	0.242255	0.252782	0.651054	0.873616	0.473754	0.033533	
1166000	-512.689394	1	1935	0.239542	0.401461	0.401461	0.239542	0	0.242160	0.267502	0.232979	0.257360	0.153329	0.617091	0.006795	0.232483	
1167000	-513.358431	1	1157	0.276295	0.483803	0.483803	0.276295	1	0.247217	0.253804	0.246209	0.252769	0.190610	0.946180	0.270148	0.167440	
1168000	-512.698340	1	2839	0.271074	0.431756	0.431756	0.271074	0	0.245466	0.264016	0.236329	0.254189	0.808278	0.626181	0.297846	0.674018	
1169000	-511.482828	1	3789	0.257630	0.460407	0.460407	0.257630	0	0.245925	0.254264	0.245739	0.254072	0.048986	0.380899	0.402249	0.504787	
1170000	-513.377452	1	2851	0.258770	0.526862	0.526862	0.258770	1	0.247606	0.246392	0.253623	0.252379	0.960098	0.363874	0.583969	0.610789	
1171000	-512.474077	1	3624	0.234585	0.514803	0.514803	0.234585	0	0.246407	0.240739	0.259411	0.253443	0.476579	0.460788	0.882572	0.054117	
1172000	-511.369704	1	3922	0.254621	0.494883	0.494883	0.254621	0	0.246776	0.248260	0.251725	0.253239	0.518834	0.024233	0.101517	0.255981	
