Options:
Model:                           Discrete: Dependent
Tree File Name:                  tutorial_tree.nex
Data File Name:                  tutorial_edited_traits_save.tsv
Log File Name:                   tutorial_bayestraits_output_log_dep_save.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1390687965
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      5000000
Burn in:                         1000000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Zero Rates:                      Yes
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Pis used in ancestral state estimation:      Yes
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Save Model:                      tutorial_bayestraits_output_model_dep.bin
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,1.00) 
Tree Information
     Trees:                      1
     Taxa:                       500
     Sites:                      1
     States:                     4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
1051000	-465.863807	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.503275	0.000000	0.503275	0.503275	0.503275	0.503275	0.503275	0.000000	0.000001	0.000001	0.999997	0.000001	0.883762	
1052000	-466.080146	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.464740	0.000000	0.464740	0.464740	0.464740	0.464740	0.464740	0.000000	0.000001	0.000001	0.999997	0.000001	0.974392	
1053000	-466.802365	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.565019	0.000000	0.565019	0.565019	0.565019	0.565019	0.565019	0.000000	0.000001	0.000001	0.999996	0.000001	0.482446	
1054000	-469.558142	1	1	3	'0 Z 0 0 Z 0 0 Z 	D	0.625569	0.000000	0.625569	0.625569	0.000000	0.625569	0.625569	0.000000	0.000001	0.000001	0.999998	0.000001	0.828959	
1055000	-465.869823	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.486457	0.000000	0.486457	0.486457	0.486457	0.486457	0.486457	0.000000	0.000001	0.000001	0.999997	0.000001	0.799646	
1056000	-465.819152	1	2	2	'1 Z 1 0 1 1 1 Z 	D	0.452576	0.000000	0.452576	0.493386	0.452576	0.452576	0.452576	0.000000	0.000001	0.000001	0.999997	0.000001	0.944034	
1057000	-465.890874	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.482423	0.000000	0.482423	0.482423	0.482423	0.482423	0.482423	0.000000	0.000001	0.000001	0.999997	0.000001	0.546534	
1058000	-465.858086	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.489875	0.000000	0.489875	0.489875	0.489875	0.489875	0.489875	0.000000	0.000001	0.000001	0.999997	0.000001	0.617170	
1059000	-465.851079	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.496991	0.000000	0.496991	0.496991	0.496991	0.496991	0.496991	0.000000	0.000001	0.000001	0.999997	0.000001	0.932093	
1060000	-466.541176	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.443319	0.000000	0.443319	0.443319	0.443319	0.443319	0.443319	0.000000	0.000001	0.000001	0.999997	0.000001	0.687001	
1061000	-465.852916	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.492415	0.000000	0.492415	0.492415	0.492415	0.492415	0.492415	0.000000	0.000001	0.000001	0.999997	0.000001	0.330733	
1062000	-469.465321	1	1	3	'0 Z 0 0 Z 0 0 Z 	D	0.632584	0.000000	0.632584	0.632584	0.000000	0.632584	0.632584	0.000000	0.000001	0.000001	0.999998	0.000001	0.398345	
1063000	-469.813955	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.648145	0.000000	0.648145	0.648145	0.648145	0.648145	0.648145	0.000000	0.000002	0.000002	0.999994	0.000002	0.188856	
1064000	-465.865108	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.487647	0.000000	0.487647	0.487647	0.487647	0.487647	0.487647	0.000000	0.000001	0.000001	0.999997	0.000001	0.305150	
1065000	-465.860353	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.502183	0.000000	0.502183	0.502183	0.502183	0.502183	0.502183	0.000000	0.000001	0.000001	0.999997	0.000001	0.855097	
1066000	-465.941650	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.516064	0.000000	0.516064	0.516064	0.516064	0.516064	0.516064	0.000000	0.000001	0.000001	0.999997	0.000001	0.822233	
1067000	-465.287178	1	2	2	'1 Z 1 1 0 0 1 Z 	D	0.463785	0.000000	0.463785	0.463785	0.318705	0.318705	0.463785	0.000000	0.000001	0.000001	0.999998	0.000001	0.929853	
1068000	-466.285228	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.541467	0.000000	0.541467	0.541467	0.541467	0.541467	0.541467	0.000000	0.000001	0.000001	0.999996	0.000001	0.850165	
1069000	-465.875700	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.506225	0.000000	0.506225	0.506225	0.506225	0.506225	0.506225	0.000000	0.000001	0.000001	0.999997	0.000001	0.677054	
1070000	-465.987691	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.471574	0.000000	0.471574	0.471574	0.471574	0.471574	0.471574	0.000000	0.000001	0.000001	0.999997	0.000001	0.840966	
1071000	-466.778935	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.435511	0.000000	0.435511	0.435511	0.435511	0.435511	0.435511	0.000000	0.000001	0.000001	0.999997	0.000001	0.348757	
1072000	-467.142913	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.425504	0.000000	0.425504	0.425504	0.425504	0.425504	0.425504	0.000000	0.000001	0.000001	0.999997	0.000001	0.261972	
1073000	-466.276707	1	1	2	'0 Z 0 0 0 0 0 Z 	D	0.540994	0.000000	0.540994	0.540994	0.540994	0.540994	0.540994	0.000000	0.000001	0.000001	0.999996	0.000001	0.866613	
